"category","id","question","answer1","answer2","answer3","answer4","correct","explanation"
"飛行規則","001","有視界飛行方式による飛行で、雲から離れて飛行しなければならない距離で正しいものはどれか？","300m","600m","1000m","1500m","1","有視界飛行方式による飛行では、雲から少なくとも水平距離で600m、垂直距離で150m離れて飛行する必要があります。これは航空法施行規則第5条の4に規定されています。"
"飛行規則","002","有視界飛行方式で飛行中、視程が1,500m未満となった場合の対応として正しいものはどれか？","そのまま飛行を続ける","最寄りの空港に着陸する","管制機関に通報する","計器飛行方式に切り替える","1","有視界飛行方式で飛行中に視程が1,500m未満となった場合、安全に着陸できる最寄りの空港に着陸しなければなりません。これは航空法第96条第1項に基づいています。"
"飛行規則","003","有視界飛行方式による飛行で、地表又は水面を引き続き視認できない状態で正しいものはどれか？","10秒間","30秒間","1分間","5分間","2","有視界飛行方式による飛行では、30秒間以上継続して地表又は水面を視認できない状態での飛行は禁止されています。これは航空法施行規則第5条の4第2項に規定されています。"
"飛行規則","004","有視界飛行方式による夜間の飛行で、灯火を持つ飛行場から離陸する際の視程の最低値はどれか？","1,500m","3,000m","5,000m","8,000m","2","有視界飛行方式による夜間の飛行で、灯火を持つ飛行場から離陸する場合、視程は少なくとも5,000m必要です。これは航空法施行規則第5条の4第3項に規定されています。"
"飛行規則","005","有視界飛行方式による飛行で、管制圏内を飛行する場合の最低気象条件として正しいものはどれか？","地上視程1,500m以上","地上視程3,000m以上","地上視程5,000m以上","雲高300m以上","1","有視界飛行方式による管制圏内の飛行では、地上視程が3,000m以上であることが最低気象条件の一つです。これは航空法施行規則第198条の4に規定されています。"
"飛行規則","006","有視界飛行方式による飛行で、管制圏外を飛行する場合の最低気象条件として正しいものはどれか？","視程1,500m以上","視程3,000m以上","視程5,000m以上","雲高300m以上","2","有視界飛行方式による管制圏外の飛行では、視程が5,000m以上であることが最低気象条件の一つです。これは航空法施行規則第5条の4第3項に規定されています。"
"飛行規則","007","有視界飛行方式による飛行で、巡航高度を決定する際の基準となる方向は？","真方位","磁方位","コンパス方位","相対方位","1","有視界飛行方式による飛行で、巡航高度を決定する際は磁方位を基準とします。これは航空法施行規則第177条に規定されています。"
"飛行規則","008","有視界飛行方式による飛行で、3,000ft以上の高度で飛行する場合の最低気象条件として正しいものはどれか？","雲から300m以上離れていること","雲から600m以上離れていること","雲から1,000m以上離れていること","雲から1,500m以上離れていること","1","有視界飛行方式による3,000ft以上の高度での飛行では、雲から水平距離で600m以上、垂直距離で150m以上離れていることが必要です。これは航空法施行規則第5条の4第1項に規定されています。"
"飛行規則","009","有視界飛行方式による夜間の飛行で、灯火のない飛行場に着陸する際の視程の最低値はどれか？","1,500m","3,000m","5,000m","8,000m","3","有視界飛行方式による夜間の飛行で、灯火のない飛行場に着陸する場合、視程は少なくとも8,000m必要です。これは航空法施行規則第5条の4第3項に規定されています。"
"飛行規則","010","有視界飛行方式による飛行で、管制圏内を飛行する場合の雲高の最低値はどれか？","150m","300m","450m","600m","2","有視界飛行方式による管制圏内の飛行では、雲高が300m以上であることが最低気象条件の一つです。これは航空法施行規則第198条の4に規定されています。"
"飛行規則","011","有視界飛行方式による飛行で、管制圏外を飛行する場合の雲量の制限として正しいものはどれか？","雲量5/8以下","雲量6/8以下","雲量7/8以下","制限なし","1","有視界飛行方式による管制圏外の飛行では、雲量が5/8以下であることが最低気象条件の一つです。これは航空法施行規則第5条の4第3項に規定されています。"
"飛行規則","012","有視界飛行方式による飛行で、夜間に灯火を持つ飛行場に着陸する際の視程の最低値はどれか？","1,500m","3,000m","5,000m","8,000m","2","有視界飛行方式による夜間の飛行で、灯火を持つ飛行場に着陸する場合、視程は少なくとも5,000m必要です。これは航空法施行規則第5条の4第3項に規定されています。"
"飛行規則","013","有視界飛行方式による飛行で、3,000ft未満の高度で飛行する場合の視程の最低値はどれか？","1,500m","3,000m","5,000m","8,000m","2","有視界飛行方式による3,000ft未満の高度での飛行では、視程が5,000m以上必要です。これは航空法施行規則第5条の4第3項に規定されています。"
"飛行規則","014","有視界飛行方式による飛行で、巡航高度を偶数千フィートに設定する磁方位の範囲はどれか？","0度以上90度未満","0度以上180度未満","180度以上360度未満","270度以上360度未満","2","有視界飛行方式による飛行で、磁方位が0度以上180度未満の場合、巡航高度は偶数千フィートに設定します。これは航空法施行規則第177条に規定されています。"
"飛行規則","015","有視界飛行方式による飛行で、管制圏内を飛行する場合の最低安全高度はどれか？","地表から300m","地表から450m","地表から600m","地表から900m","2","有視界飛行方式による管制圏内の飛行では、地表または水面から450m以上の高度を維持する必要があります。これは航空法施行規則第174条に規定されています。"
"飛行規則","016","有視界飛行方式による飛行で、人口密集地域上空を飛行する場合の最低安全高度はどれか？","地表から300m","地表から450m","地表から600m","地表から900m","2","有視界飛行方式による人口密集地域上空の飛行では、地表から600m以上の高度を維持する必要があります。これは航空法施行規則第174条に規定されています。"
"飛行規則","017","有視界飛行方式による飛行で、特別管制空域を飛行する場合に必要な許可は？","空港事務所長の許可","管制官の許可","国土交通大臣の許可","許可は不要","1","有視界飛行方式による特別管制空域の飛行では、管制官の許可が必要です。これは航空法第94条の2に規定されています。"
"飛行規則","018","有視界飛行方式による飛行で、巡航高度を奇数千フィート+500フィートに設定する磁方位の範囲はどれか？","0度以上90度未満","0度以上180度未満","180度以上360度未満","270度以上360度未満","2","有視界飛行方式による飛行で、磁方位が180度以上360度未満の場合、巡航高度は奇数千フィート+500フィートに設定します。これは航空法施行規則第177条に規定されています。"
"飛行規則","019","有視界飛行方式による飛行で、人口密集地域以外の地域上空を飛行する場合の最低安全高度はどれか？","地表から150m","地表から300m","地表から450m","地表から600m","1","有視界飛行方式による人口密集地域以外の地域上空の飛行では、地表または水面から300m以上の高度を維持する必要があります。これは航空法施行規則第174条に規定されています。"
"飛行規則","020","有視界飛行方式による飛行で、夜間に灯火のない飛行場から離陸する際の視程の最低値はどれか？","1,500m","3,000m","5,000m","8,000m","3","有視界飛行方式による夜間の飛行で、灯火のない飛行場から離陸する場合、視程は少なくとも8,000m必要です。これは航空法施行規則第5条の4第3項に規定されています。"
"飛行規則","021","有視界気象状態の条件として、地上視程が何メートル以上必要か？","1500m","3000m","5000m","8000m","0","有視界気象状態の条件として、地上視程は1500m以上必要です。"
"飛行規則","022","航空法で定める「夜間」の定義として正しいものはどれか？","日没から日出まで","日没30分後から日出30分前まで","日没15分後から日出15分前まで","日没1時間後から日出1時間前まで","0","航空法では、「夜間」は日没から日出までと定義されています。"
"飛行規則","023","有視界飛行方式による飛行中、進路前方に雲がある場合、最小でも何メートル以上離れて飛行しなければならないか？","300m","600m","1000m","1500m","1","有視界飛行方式による飛行では、雲から少なくとも水平距離で600m離れて飛行する必要があります。"
"飛行規則","024","有視界飛行方式による飛行で、地表または水面を引き続き視認できない場合、どうすべきか？","そのまま飛行を続ける","速やかに上昇又は降下する","管制官に連絡する","計器飛行方式に切り替える","3","有視界飛行方式による飛行で地表または水面を引き続き視認できない場合、速やかに着陸するか、計器飛行方式に切り替える必要があります。"
"飛行規則","025","有視界飛行方式による飛行で、飛行視程が何メートル未満の場合、飛行してはならないか？","1500m","3000m","5000m","8000m","1","有視界飛行方式による飛行では、飛行視程が3000m未満の場合、飛行してはいけません。"
"飛行規則","026","有視界飛行方式による夜間飛行で、灯火を持たない飛行場に着陸する場合、何が必要か？","特別な許可","夜間飛行の訓練","非常用の発電機","追加の燃料","0","有視界飛行方式による夜間飛行で、灯火を持たない飛行場に着陸する場合、国土交通大臣の許可が必要です。"
"飛行規則","027","有視界飛行方式による飛行中、巡航高度はどのように決定されるか？","管制官の指示に従う","飛行方向に応じて奇数または偶数の高度をとる","常に海抜3000フィート以上を維持する","天候に応じて自由に選択する","1","有視界飛行方式による飛行中、巡航高度は飛行方向に応じて奇数または偶数の千フィート単位の高度をとります。"
"飛行規則","028","有視界飛行方式による飛行で、航空交通管制区に入る場合、何が必要か？","特別な許可","飛行計画の提出","トランスポンダーの装備","追加の燃料","1","有視界飛行方式による飛行で航空交通管制区に入る場合、事前に飛行計画を提出する必要があります。"
"飛行規則","029","有視界飛行方式による飛行中、他の航空機との衝突を回避するためには主に何に頼るべきか？","レーダー","ADS-B","目視","無線通信","2","有視界飛行方式による飛行中、他の航空機との衝突を回避するためには主に目視に頼るべきです。"
"飛行規則","030","有視界飛行方式による飛行で、最低安全高度はどのように定められているか？","常に地表から300m以上","人又は家屋の密集地域では、地上の人又は物件から150m以上の距離を保って飛行できる高度","海抜450m以上","管制官の指示に従う","1","有視界飛行方式による飛行で、人又は家屋の密集地域では、地上の人又は物件から150m以上の距離を保って飛行できる高度が最低安全高度として定められています。"
"飛行規則","031","有視界飛行方式による飛行中、空域クラスCに入る際に必要な手続きは何か？","特別な許可の取得","管制機関との交信の設定","トランスポンダーの装備","追加の燃料搭載","1","有視界飛行方式による飛行中、空域クラスCに入る際には管制機関との交信の設定が必要です。"
"飛行規則","032","有視界飛行方式による飛行で、空中衝突防止のために右側通行の原則が適用されるのは、どのような状況か？","正面からほぼ向かい合って接近する場合","追い越しの場合","交差する進路の場合","全ての場合","0","有視界飛行方式による飛行で、空中衝突防止のために右側通行の原則が適用されるのは、正面からほぼ向かい合って接近する場合です。"
"飛行規則","033","有視界飛行方式による飛行中、気象条件が悪化し、有視界気象状態を維持できなくなった場合、パイロットはどうすべきか？","そのまま飛行を続ける","即座に引き返す","管制官に助言を求める","最寄りの適切な空港に着陸する","3","有視界飛行方式による飛行中、気象条件が悪化し有視界気象状態を維持できなくなった場合、パイロットは最寄りの適切な空港に着陸すべきです。"
"飛行規則","034","有視界飛行方式による飛行で、航空交通情報圏に入る際に必要な手続きは何か？","特別な許可の取得","位置通報の実施","トランスポンダーの装備","追加の燃料搭載","1","有視界飛行方式による飛行で、航空交通情報圏に入る際には位置通報の実施が必要です。"
"飛行規則","035","有視界飛行方式による飛行中、他機と行き会う場合、進路権を譲らなければならないのは次のうちどれか？","左側から接近する航空機","右側から接近する航空機","上昇中の航空機","下降中の航空機","0","有視界飛行方式による飛行中、他機と行き会う場合、右側から接近する航空機に進路権を譲らなければなりません。"
"飛行規則","036","有視界飛行方式による飛行で、管制圏に入る際に必要な手続きは何か？","特別な許可の取得","管制官の許可","トランスポンダーの装備","追加の燃料搭載","1","有視界飛行方式による飛行で、管制圏に入る際には管制官の許可が必要です。"
"飛行規則","037","有視界飛行方式による飛行中、進路権を譲る航空機はどのような行動をとるべきか？","速度を上げて先に通過する","高度を下げて回避する","右に向かって回避する","相手機の上方を通過する","2","有視界飛行方式による飛行中、進路権を譲る航空機は、他の航空機の進路を避けなければなりません。一般的には右に向かって回避します。"
"飛行規則","038","有視界飛行方式による夜間飛行で、機外の目標を識別するための灯火の明るさはどの程度必要か？","5キロメートル以上先まで識別できる程度","3キロメートル以上先まで識別できる程度","1キロメートル以上先まで識別できる程度","500メートル以上先まで識別できる程度","1","有視界飛行方式による夜間飛行で、機外の目標を識別するための灯火の明るさは、3キロメートル以上先まで識別できる程度が必要です。"
"飛行規則","039","有視界飛行方式による飛行で、通信機器が故障した場合、パイロットはどのような行動をとるべきか？","そのまま飛行を続ける","即座に引き返す","管制塔のある最寄りの空港に着陸する","視認可能な適切な場所に着陸する","2","有視界飛行方式による飛行で、通信機器が故障した場合、パイロットは管制塔のある最寄りの空港に着陸すべきです。"
"航空交通管制","101","管制圏に入る場合、最初に行うべき通信は何か？","位置通報","管制承認の要求","気象情報の要求","トランスポンダーのセット","1","管制圏に入る際は、まず管制承認を要求する必要があります。これは航空法第94条及び航空法施行規則第198条の5に基づいています。管制承認なしに管制圏に入ることは禁止されています。""航空交通管制","102","IFR機がVFR機に対して行う回避義務は？","常にVFR機が回避する","常にIFR機が回避する","お互いに回避する","管制官の指示に従う","1","IFR機はVFR機を視認した場合、回避の義務があります。これは航空法第96条の2第1項に規定されています。ただし、VFR機も可能な限り回避に協力する必要があります。"
"航空交通管制","103","管制空域の種類に含まれないものはどれか？","管制圏","進入管制区","航空路","自由飛行区域","3","管制空域には、管制圏、進入管制区、航空路などがありますが、「自由飛行区域」は存在しません。管制空域の種類は航空法第2条第11項及び航空法施行規則第173条に規定されています。"
"航空交通管制","104","管制用語「HOLD SHORT OF RUNWAY」の意味は？","滑走路に進入せよ","滑走路手前で待機せよ","滑走路を横断せよ","滑走路から離脱せよ","1","「HOLD SHORT OF RUNWAY」は「滑走路手前で待機せよ」という意味です。これは国土交通省航空局の「航空管制用語と試験研究用管制方式基準」に規定されています。滑走路に進入する前の安全確認のために使用されます。"
"航空交通管制","105","航空交通管制の第一の目的は何か？","航空機の安全運航","航空機の効率的な運航","航空機の定時運航","航空機の経済的な運航","0","航空交通管制の第一の目的は「航空機の安全運航」です。これは航空法第95条の2に規定されており、航空交通の安全かつ円滑な流れの促進が航空交通管制の目的とされています。"
"航空交通管制","106","管制用語「SQUAWK IDENT」の意味は？","トランスポンダーをOFFにせよ","トランスポンダーをONにせよ","トランスポンダーのIDENTボタンを押せ","トランスポンダーのコードを変更せよ","2","「SQUAWK IDENT」は「トランスポンダーのIDENTボタンを押せ」という指示です。これは国土交通省航空局の「航空管制用語と試験研究用管制方式基準」に規定されています。管制官が特定の航空機を識別するために使用されます。"
"航空交通管制","107","TCAとは何の略称か？","Terminal Control Area","Traffic Control Area","Terminal Clearance Area","Takeoff and Climb Area","0","TCAは「Terminal Control Area（ターミナル管制区）」の略称です。これは航空法施行規則第173条第2項に規定されており、空港周辺の複雑な空域を管理するために設定される空域です。"
"航空交通管制","108","管制用語「CLEARED FOR TAKEOFF」を受けた後、何秒以内に離陸滑走を開始すべきか？","直ちに","30秒以内","1分以内","2分以内","1","「CLEARED FOR TAKEOFF」を受けた後、1分以内に離陸滑走を開始する必要があります。これは国土交通省航空局の「航空管制運用管理規程」に規定されています。1分以上経過した場合は、再度クリアランスを得る必要があります。"
"航空交通管制","109","管制圏内でVFR機が維持すべき最低気象条件は？","視程5km、雲から離れて飛行","視程8km、雲高300m以上","視程5km、雲高300m以上","視程3km、雲高300m以上","3","管制圏内でVFR機が維持すべき最低気象条件は、視程3km以上、雲高300m以上です。これは航空法施行規則第198条の4に規定されています。"
"航空交通管制","110","ATIS（自動飛行場情報放送業務）で提供される情報に含まれないものは？","滑走路の使用状況","気象情報","航空機の位置情報","NOTAMの概要","2","ATISには通常、滑走路の使用状況、気象情報、NOTAMの概要などが含まれますが、個々の航空機の位置情報は含まれません。ATISの内容は航空法施行規則第234条の2に規定されています。"
"航空交通管制","111","管制用語「TRAFFIC, 2 O'CLOCK, 5 MILES, NORTHBOUND, ALTITUDE UNKNOWN」の意味は？","2時の方向、5マイル、南に向かう航空機、高度不明","12時の方向、5マイル、北に向かう航空機、高度不明","2時の方向、5マイル、北に向かう航空機、高度不明","12時の方向、5マイル、南に向かう航空機、高度不明","2","この管制用語は「2時の方向、5マイル、北に向かう航空機、高度不明」を意味します。これは国土交通省航空局の「航空管制用語と試験研究用管制方式基準」に基づいています。トラフィック情報の提供方法を示しています。"
"航空交通管制","112","管制用語「TAXI TO HOLDING POINT RUNWAY 36」の意味は？","滑走路36に進入せよ","滑走路36の手前の待機地点まで地上走行せよ","滑走路36から離脱せよ","滑走路36で待機せよ","1","この管制用語は「滑走路36の手前の待機地点まで地上走行せよ」という意味です。これは国土交通省航空局の「航空管制用語と試験研究用管制方式基準」に規定されています。滑走路進入前の待機指示を示しています。"
"航空交通管制","113","管制機関から「REPORT PASSING 5000 FEET」と指示された場合、いつ通報すべきか？","5000フィートに到達する前","5000フィートに到達した時","5000フィートを通過した直後","5000フィートを1000フィート以上超えた時","2","「REPORT PASSING 5000 FEET」の指示を受けた場合、5000フィートを通過した直後に通報する必要があります。これは国土交通省航空局の「航空管制用語と試験研究用管制方式基準」に基づいています。正確な高度通過の報告が求められています。"
"航空交通管制","114","管制用語「MAINTAIN OWN SEPARATION」の意味は？","他機との間隔を自ら維持せよ","現在の高度を維持せよ","現在の針路を維持せよ","管制官の指示に従え","0","「MAINTAIN OWN SEPARATION」は「他機との間隔を自ら維持せよ」という意味です。これは国土交通省航空局の「航空管制用語と試験研究用管制方式基準」に規定されています。パイロットに他機との間隔維持の責任を委ねる場合に使用されます。"
"航空交通管制","115","管制用語「EXPEDITE」の意味は？","通常の速度で行え","可能な限り急いで行え","ゆっくりと行え","管制指示を待て","1","「EXPEDITE」は「可能な限り急いで行え」という意味です。これは国土交通省航空局の「航空管制用語と試験研究用管制方式基準」に規定されています。通常よりも迅速な行動が必要な場合に使用されます。"
"航空交通管制","116","管制用語「NEGATIVE RVSM」の意味は？","RVSM空域に入ることを許可する","RVSM空域から出ることを指示する","RVSM機器が正常に作動している","RVSM機器が作動していないか、またはRVSM承認を受けていない","3","「NEGATIVE RVSM」は「RVSM機器が作動していないか、またはRVSM承認を受けていない」ことを意味します。これは国土交通省航空局の「航空管制用語と試験研究用管制方式基準」に規定されています。RVSM（短縮垂直間隔）運用に関する重要な通報です。"
"航空交通管制","117","管制用語「CONFIRM SQUAWK」の意味は？","トランスポンダーをONにせよ","トランスポンダーのコードを確認せよ","トランスポンダーをOFFにせよ","トランスポンダーのコードを変更せよ","1","「CONFIRM SQUAWK」は「トランスポンダーのコードを確認せよ」という意味です。これは国土交通省航空局の「航空管制用語と試験研究用管制方式基準」に規定されています。管制官が航空機のトランスポンダーコードを確認する必要がある場合に使用されます。"
"航空交通管制","118","管制用語「REDUCE SPEED TO MINIMUM APPROACH SPEED」の意味は？","最大進入速度まで減速せよ","最小進入速度まで減速せよ","通常の進入速度まで減速せよ","現在の速度を維持せよ","1","「REDUCE SPEED TO MINIMUM APPROACH SPEED」は「最小進入速度まで減速せよ」という意味です。これは国土交通省航空局の「航空管制用語と試験研究用管制方式基準」に規定されています。進入順序の調整などのために使用されます。"
"航空交通管制","119","航空交通管制の主な目的は何か？","航空機の運航スケジュールを管理すること","航空機間の衝突を防止し、秩序ある航空交通の流れを維持すること","航空機の燃料効率を最適化すること","航空会社の利益を最大化すること","1","航空交通管制の主な目的は、航空機間の衝突を防止し、秩序ある航空交通の流れを維持することです。"
"航空交通管制","120","IFR機が管制圏に進入する場合、通常どのような許可が必要か？","離陸許可","着陸許可","進入許可","地上走行許可","2","IFR機が管制圏に進入する場合、通常は進入許可が必要です。"
"航空交通管制","121","管制承認（クリアランス）に含まれる基本的な要素は何か？","航空機の型式、巡航高度、飛行ルート","出発時刻、到着時刻、搭乗人数","航空機の識別符号、飛行ルート、巡航高度","燃料量、乗員数、目的地空港","2","管制承認（クリアランス）に含まれる基本的な要素は、航空機の識別符号、飛行ルート、巡航高度です。"
"航空交通管制","122","管制官から「Radar Contact」と通報された場合、パイロットはどう理解すべきか？","目的地に到着したことを示す","管制官がレーダーで当該機を識別したことを示す","他の航空機との衝突の危険があることを示す","管制業務が終了したことを示す","1","管制官から「Radar Contact」と通報された場合、管制官がレーダーで当該機を識別したことを示します。"
"航空交通管制","123","ATIS(Automatic Terminal Information Service)の主な目的は何か？","航空機の位置を自動的に追跡すること","空港の気象情報や運用状況を提供すること","航空機間の通信を自動化すること","管制官の業務負担を軽減すること","1","ATISの主な目的は、空港の気象情報や運用状況を提供することです。"
"航空交通管制","124","管制空域におけるIFR機とVFR機の間の管制間隔はどのように確保されるか？","常に5マイルの水平間隔を維持する","IFR機にのみ管制指示を与え、VFR機は見張り義務を負う","両機に対して高度と針路の指示を与える","管制間隔は確保されず、両機とも見張り義務を負う","1","管制空域におけるIFR機とVFR機の間の管制間隔は、基本的にIFR機にのみ管制指示を与え、VFR機は見張り義務を負います。"
"航空交通管制","125","管制官から「Squawk ident」と指示された場合、パイロットはどのような操作を行うべきか？","トランスポンダーの電源を切る","トランスポンダーのIDENTボタンを押す","無線で自機の識別符号を通報する","高度を変更する","1","管制官から「Squawk ident」と指示された場合、パイロットはトランスポンダーのIDENTボタンを押すべきです。"
"航空交通管制","126","TCA(Terminal Control Area)における管制業務の主な目的は何か？","空港周辺の混雑した空域での秩序ある交通流を維持すること","航空機の燃料消費を最小限に抑えること","航空機の離着陸時間を正確に予測すること","航空機の運航スケジュールを調整すること","0","TCAにおける管制業務の主な目的は、空港周辺の混雑した空域での秩序ある交通流を維持することです。"
"航空交通管制","127","管制官から「Line up and wait」という指示を受けた場合、パイロットはどのような行動をとるべきか？","直ちに離陸する","滑走路に進入し、離陸位置で待機する","滑走路手前で待機する","着陸態勢に入る","1","管制官から「Line up and wait」という指示を受けた場合、パイロットは滑走路に進入し、離陸位置で待機すべきです。"
"航空交通管制","128","IFR機が管制空域を飛行中に予期せぬ気象状況の変化に遭遇した場合、どのような対応が求められるか？","直ちに目視飛行方式に切り替える","管制官に状況を報告し、必要に応じて新たな指示を要求する","無線通信を中止し、独自の判断で飛行を継続する","最寄りの空港に緊急着陸する","1","IFR機が管制空域を飛行中に予期せぬ気象状況の変化に遭遇した場合、管制官に状況を報告し、必要に応じて新たな指示を要求することが求められます。"
"航空交通管制","129","管制官から「Cleared for takeoff」の指示を受けた後、離陸を開始するまでの適切な時間は？","直ちに","10秒以内","1分以内","管制官から追加の指示があるまで待機","0","有視界飛行方式による飛行で、人又は家屋の密集地域では、地上の人又は物件から150m以上の距離を保って飛行できる高度が最低安全高度として定められています。管制官から「Cleared for takeoff」の指示を受けた後、パイロットは合理的な時間内（通常は10〜20秒程度）に離陸を開始すべきです。長時間待機する場合は管制官に通知が必要です。"
"航空交通管制","130","管制空域における標準的な垂直間隔は何ftか？","500ft","1000ft","2000ft","3000ft","1","管制空域における標準的な垂直間隔は1000ftです。"
"航空交通管制","131","RVSM(Reduced Vertical Separation Minimum)空域における垂直間隔は何ftか？","500ft","1000ft","2000ft","3000ft","1","RVSM空域における垂直間隔は1000ftです。"
"航空交通管制","132","管制官から「Taxi to holding point」という指示を受けた場合、パイロットはどのような行動をとるべきか？","滑走路に進入する","指定された待機地点まで地上走行する","離陸の準備を完了する","管制塔との交信を終了する","1","管制官から「Taxi to holding point」という指示を受けた場合、パイロットは指定された待機地点まで地上走行すべきです。"
"航空交通管制","133","管制承認の復唱（Read back）が要求される主な理由は何か？","パイロットの英語能力を確認するため","管制官の指示が正確に理解されたことを確認するため","航空機の位置を確認するため","管制官の業務負担を増やすため","1","管制承認の復唱（Read back）が要求される主な理由は、管制官の指示が正確に理解されたことを確認するためです。"
"航空交通管制","134","VFR機が管制圏に入る際、通常どのような許可が必要か？","離陸許可","着陸許可","進入許可","地上走行許可","2","VFR機が管制圏に入る際、通常は進入許可が必要です。"
"航空交通管制","135","管制官から「Report passing 5000 feet」という指示を受けた場合、パイロットはどのタイミングで報告すべきか？","5000ftに到達する前","ちょうど5000ftに到達した時","5000ftを通過した直後","5000ftを通過してから1分後","2","管制官から「Report passing 5000 feet」という指示を受けた場合、パイロットは5000ftを通過した直後に報告すべきです。"
"航空交通管制","136","管制官から「Fly heading 270」という指示を受けた場合、パイロットはどのような行動をとるべきか？","270度の方位に向かって飛行する","270ktの速度で飛行する","27000ftの高度まで上昇する","270度の旋回を行う","0","管制官から「Fly heading 270」という指示を受けた場合、パイロットは270度の方位に向かって飛行すべきです。"
"航空交通管制","137","TCAS(Traffic Alert and Collision Avoidance System)のRA(Resolution Advisory)が発出された場合、パイロットはどのように対応すべきか？","直ちにRAに従って回避操作を行う","管制官に状況を報告し、指示を待つ","他機との視認間隔を確保する","現在の飛行を継続する","0","TCAS(Traffic Alert and Collision Avoidance System)のRA(Resolution Advisory)が発出された場合、パイロットは直ちにRAに従って回避操作を行うべきです。"
"航空交通管制","138","管制官から「Cleared to land」の指示を受けた後、着陸復行（Go around）を決断した場合、パイロットはどのように対応すべきか？","管制官の許可を待ってから復行する","直ちに復行し、できるだけ早く管制官に通報する","着陸許可を無視して着陸を続行する","エンジンを停止して緊急着陸する","1","管制官から「Cleared to land」の指示を受けた後、着陸復行（Go around）を決断した場合、パイロットは直ちに復行し、できるだけ早く管制官に通報すべきです。"
